Robot has been awakened!
Kenobi start position Row: 8, Column 8
Kenobi moved down to (7, 5) | Reward: 2.0 | Distance to food: 11
Kenobi moved left to (7, 4) | Reward: -2.0 | Distance to food: 12
Kenobi moved up to (6, 4) | Reward: -2.0 | Distance to food: 13
Kenobi moved left to (6, 3) | Reward: -2.0 | Distance to food: 14
Kenobi moved down to (7, 3) | Reward: 2.0 | Distance to food: 13
Kenobi moved right to (7, 4) | Reward: 2.0 | Distance to food: 12
Kenobi moved up to (6, 4) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (5, 4) | Reward: -2.0 | Distance to food: 14
Kenobi moved up to (4, 4) | Reward: -2.0 | Distance to food: 15
Kenobi moved up to (3, 4) | Reward: -2.0 | Distance to food: 16
Kenobi moved right to (3, 5) | Reward: 2.0 | Distance to food: 15
Kenobi moved down to (4, 5) | Reward: 2.0 | Distance to food: 14
Kenobi moved down to (5, 5) | Reward: 2.0 | Distance to food: 13
Kenobi moved down to (6, 5) | Reward: 2.0 | Distance to food: 12
Kenobi moved left to (6, 4) | Reward: -2.0 | Distance to food: 13
Kenobi moved down to (7, 4) | Reward: 2.0 | Distance to food: 12
Kenobi moved left to (7, 3) | Reward: -2.0 | Distance to food: 13
Kenobi moved up to (6, 3) | Reward: -2.0 | Distance to food: 14
Kenobi moved up to (5, 3) | Reward: -2.0 | Distance to food: 15
Kenobi moved left to (5, 2) | Reward: -2.0 | Distance to food: 16
Kenobi moved down to (6, 2) | Reward: 2.0 | Distance to food: 15
Kenobi moved left to (6, 1) | Reward: -2.0 | Distance to food: 16
Kenobi moved up to (5, 1) | Reward: -2.0 | Distance to food: 17
Kenobi moved left to (5, 0) | Reward: -2.0 | Distance to food: 18
Kenobi moved up to (4, 0) | Reward: -2.0 | Distance to food: 19
Kenobi moved right to (4, 1) | Reward: 2.0 | Distance to food: 18
Kenobi moved down to (5, 1) | Reward: 2.0 | Distance to food: 17
Kenobi moved up to (4, 1) | Reward: -2.0 | Distance to food: 18
Kenobi moved left to (4, 0) | Reward: -2.0 | Distance to food: 19
Kenobi moved up to (3, 0) | Reward: -2.0 | Distance to food: 20
Kenobi moved down to (4, 0) | Reward: 2.0 | Distance to food: 19
Kenobi moved up to (3, 0) | Reward: -2.0 | Distance to food: 20
Kenobi moved down to (4, 0) | Reward: 2.0 | Distance to food: 19
Kenobi moved right to (4, 1) | Reward: 2.0 | Distance to food: 18
Kenobi moved up to (3, 1) | Reward: -2.0 | Distance to food: 19
Kenobi moved left to (3, 0) | Reward: -2.0 | Distance to food: 20
Kenobi moved up to (2, 0) | Reward: -2.0 | Distance to food: 21
WALL HIT! Kenobi crashed into the wall. Final score: 0
=== Episode 6 started ===
Kenobi moved left to (8, 7) | Reward: -2.0 | Distance to food: 4
Kenobi moved right to (8, 8) | Reward: 2.0 | Distance to food: 3
Kenobi moved right to (8, 9) | Reward: -2.0 | Distance to food: 4
Kenobi moved right to (8, 10) | Reward: -2.0 | Distance to food: 5
Kenobi moved right to (8, 11) | Reward: -2.0 | Distance to food: 6
Kenobi moved left to (8, 10) | Reward: 2.0 | Distance to food: 5
Kenobi moved up to (7, 10) | Reward: 2.0 | Distance to food: 4
Kenobi moved left to (7, 9) | Reward: 2.0 | Distance to food: 3
Kenobi moved left to (7, 8) | Reward: 2.0 | Distance to food: 2
Kenobi moved down to (8, 8) | Reward: -2.0 | Distance to food: 3
Kenobi moved left to (8, 7) | Reward: -2.0 | Distance to food: 4
Kenobi moved up to (7, 7) | Reward: 2.0 | Distance to food: 3
Kenobi moved right to (7, 8) | Reward: 2.0 | Distance to food: 2
